"","n","batch","time_seconds","secs_per_1k","n_of_batches"
"1",5000,1000,22.5783321857452,4.51566643714905,5
"2",5000,5000,19.7299587726593,3.94599175453186,1
"3",5000,10000,19.8868992328644,3.97737984657288,0.5
"4",5000,50000,21.4104337692261,4.28208675384521,0.1
"5",5000,100000,21.0905821323395,4.2181164264679,0.05
"6",5000,200000,14.8652060031891,2.97304120063782,0.025
"7",5000,500000,20.7140719890594,4.14281439781189,0.01
"8",10000,1000,39.4714460372925,3.94714460372925,10
"9",10000,5000,33.0927338600159,3.30927338600159,2
"10",10000,10000,32.8450260162354,3.28450260162354,1
"11",10000,50000,37.0926690101624,3.70926690101624,0.2
"12",10000,100000,39.2458109855652,3.92458109855652,0.1
"13",10000,200000,41.5202479362488,4.15202479362488,0.05
"14",10000,500000,38.4010529518127,3.84010529518127,0.02
"15",50000,1000,187.479681015015,3.74959362030029,50
"16",50000,5000,191.709341049194,3.83418682098389,10
"17",50000,10000,245.788269042969,4.91576538085937,5
"18",50000,50000,170.966372966766,3.41932745933533,1
"19",50000,100000,180.692510843277,3.61385021686554,0.5
"20",50000,200000,342.998285055161,6.85996570110321,0.25
"21",50000,500000,189.328061103821,3.78656122207642,0.1
"22",100000,1000,390.449007034302,3.90449007034302,100
"23",100000,5000,377.642161846161,3.77642161846161,20
"24",100000,10000,339.179834127426,3.39179834127426,10
"25",100000,50000,669.064497947693,6.69064497947693,2
"26",100000,100000,719.179921865463,7.19179921865463,1
"27",100000,200000,1076.60029816628,10.7660029816627,0.5
"28",100000,500000,368.008183002472,3.68008183002472,0.2
"29",500000,1000,2071.99995493889,4.14399990987778,500
"30",500000,5000,1962.06296992302,3.92412593984604,100
"31",500000,10000,2218.99806714058,4.43799613428116,50
"32",500000,50000,2456.35712194443,4.91271424388886,10
"33",500000,100000,3494.51980805397,6.98903961610794,5
